datetime,Chicago
1/11/2016,255.40
1/11/2016,255.62
1/11/2016,256.72
1/11/2016,257.90
1/11/2016,261.40
1/11/2016,261.44
1/11/2016,262.44
1/11/2016,263.59
1/11/2016,264.56
1/11/2016,265.51
1/11/2016,266.52
1/12/2016,266.98
1/12/2016,267.48
1/12/2016,268.60
1/12/2016,268.97
1/12/2016,269.59
1/12/2016,269.56
1/12/2016,267.20
1/12/2016,265.86
1/12/2016,265.84
1/12/2016,265.43
1/12/2016,265.02
1/12/2016,264.21
1/12/2016,261.98
1/12/2016,261.92
1/12/2016,260.52
1/12/2016,260.09
1/12/2016,259.59
1/12/2016,260.45
1/12/2016,260.47
1/12/2016,260.90
1/12/2016,261.63
1/12/2016,261.51
1/12/2016,261.24
1/12/2016,260.95
1/13/2016,260.28
1/13/2016,259.54
1/13/2016,259.60
1/13/2016,258.85
1/13/2016,257.03
1/13/2016,257.04
1/13/2016,256.77
1/13/2016,256.61
1/13/2016,255.95
1/13/2016,255.88
1/13/2016,255.80
1/13/2016,255.59
1/13/2016,255.59
1/13/2016,255.71
1/13/2016,256.54
1/13/2016,257.64
1/13/2016,259.04
1/13/2016,259.75
1/13/2016,261.30
1/13/2016,262.19
1/13/2016,263.15
1/13/2016,264.36
1/13/2016,265.72
1/13/2016,266.32
1/14/2016,267.31
1/14/2016,267.39
1/14/2016,267.49
1/14/2016,267.64
1/14/2016,267.83
1/14/2016,268.97
1/14/2016,268.97
1/14/2016,269.08
1/14/2016,269.09
1/14/2016,269.45
1/14/2016,269.82
1/14/2016,270.35
1/14/2016,271.53
1/14/2016,271.83
1/14/2016,272.18
1/14/2016,272.71
1/14/2016,273.37
1/14/2016,274.07
1/14/2016,276.43
1/14/2016,277.41
1/14/2016,278.49
1/14/2016,279.17
1/14/2016,279.93
1/14/2016,278.29
1/15/2016,278.13
1/15/2016,278.29
1/15/2016,278.49
1/15/2016,278.51
1/15/2016,278.54
1/15/2016,278.05
1/15/2016,278.65
1/15/2016,278.74
1/15/2016,278.73
1/15/2016,278.79
1/15/2016,278.85
1/15/2016,278.34
1/15/2016,278.55
1/15/2016,278.12
1/15/2016,277.57
1/15/2016,277.65
1/15/2016,277.75
1/15/2016,277.50
1/15/2016,277.44
1/15/2016,276.65
1/15/2016,275.81
1/15/2016,275.07
1/15/2016,274.23
1/15/2016,273.32
1/16/2016,273.63
1/16/2016,273.55
1/16/2016,273.45
1/16/2016,273.22
1/16/2016,273.22
1/16/2016,273.00
1/16/2016,272.87
1/16/2016,272.64
1/16/2016,272.35
1/16/2016,272.35
1/16/2016,271.24
1/16/2016,271.82
1/16/2016,270.65
1/16/2016,270.43
1/16/2016,269.88
1/16/2016,269.89
1/16/2016,271.14
1/16/2016,271.58
1/16/2016,271.19
1/16/2016,271.04
1/16/2016,271.02
1/16/2016,271.04
1/16/2016,271.05
1/16/2016,268.65
1/17/2016,269.64
1/17/2016,268.74
1/17/2016,267.84
1/17/2016,266.84
1/17/2016,266.82
1/17/2016,263.31
1/17/2016,261.72
1/17/2016,261.71
1/17/2016,259.42
1/17/2016,259.49
1/17/2016,257.84
1/17/2016,257.83
1/17/2016,258.21
1/17/2016,256.78
1/17/2016,256.63
1/17/2016,256.71
1/17/2016,256.75
1/17/2016,257.00
1/17/2016,257.01
1/17/2016,258.42
1/17/2016,258.71
1/17/2016,258.65
1/17/2016,258.49
1/17/2016,258.24
1/18/2016,257.16
1/18/2016,256.92
1/18/2016,256.67
1/18/2016,255.97
1/18/2016,255.97
1/18/2016,255.32
1/18/2016,255.32
1/18/2016,255.26
1/18/2016,254.20
1/18/2016,254.20
1/18/2016,253.88
1/18/2016,253.88
1/18/2016,253.53
1/18/2016,253.60
1/18/2016,254.02
1/18/2016,255.08
1/18/2016,255.58
1/18/2016,256.82
1/18/2016,258.99
1/18/2016,259.13
1/18/2016,259.92
1/18/2016,259.94
1/18/2016,259.97
1/18/2016,258.80
1/19/2016,258.65
1/19/2016,258.44
1/19/2016,258.17
1/19/2016,258.02
1/19/2016,257.81
1/19/2016,257.17
1/19/2016,257.37
1/19/2016,256.96
1/19/2016,256.48
1/19/2016,256.47
1/19/2016,256.45
1/19/2016,255.52
1/19/2016,256.05
1/19/2016,255.90
1/19/2016,255.72
1/19/2016,256.63
1/19/2016,257.84
1/19/2016,258.68
1/19/2016,261.79
1/19/2016,262.76
1/19/2016,264.01
1/19/2016,264.27
1/19/2016,264.61
1/19/2016,262.84
1/20/2016,263.81
1/20/2016,263.97
1/20/2016,264.23
1/20/2016,264.37
1/20/2016,264.37
1/20/2016,264.65
1/20/2016,264.10
1/20/2016,264.10
1/20/2016,264.21
1/20/2016,264.09
1/20/2016,263.63
1/20/2016,262.64
1/20/2016,262.45
1/20/2016,262.26
1/20/2016,262.43
1/20/2016,264.32
1/20/2016,265.34
1/20/2016,265.34
1/20/2016,266.42
1/20/2016,267.16
1/20/2016,267.14
1/20/2016,267.32
1/20/2016,267.25
1/20/2016,267.17
1/21/2016,265.74
1/21/2016,264.26
1/21/2016,263.78
1/21/2016,263.44
1/21/2016,263.39
1/21/2016,263.38
1/21/2016,263.12
1/21/2016,262.05
1/21/2016,262.01
1/21/2016,260.92
1/21/2016,261.88
1/21/2016,261.88
1/21/2016,262.52
1/21/2016,262.52
1/21/2016,263.06
1/21/2016,263.77
1/21/2016,265.39
1/21/2016,267.36
1/21/2016,269.79
1/21/2016,269.83
1/21/2016,270.27
1/21/2016,270.59
1/21/2016,270.99
1/21/2016,268.29
1/22/2016,268.70
1/22/2016,267.73
1/22/2016,266.30
1/22/2016,265.89
1/22/2016,265.35
1/22/2016,264.86
1/22/2016,266.39
1/22/2016,266.72
1/22/2016,267.10
1/22/2016,267.30
1/22/2016,267.54
1/22/2016,267.06
1/22/2016,268.56
1/22/2016,268.82
1/22/2016,269.11
1/22/2016,269.42
1/22/2016,269.78
1/22/2016,270.51
1/22/2016,270.55
1/22/2016,270.85
1/22/2016,271.18
1/22/2016,271.36
1/22/2016,271.57
1/22/2016,270.56
1/23/2016,271.49
1/23/2016,271.21
1/23/2016,270.89
1/23/2016,270.50
1/23/2016,270.08
1/23/2016,269.55
1/23/2016,268.94
1/23/2016,269.16
1/23/2016,269.09
1/23/2016,269.48
1/23/2016,269.57
1/23/2016,269.57
1/23/2016,269.34
1/23/2016,269.10
1/23/2016,269.85
1/23/2016,269.64
1/23/2016,270.93
1/23/2016,272.28
1/23/2016,273.07
1/23/2016,273.09
1/23/2016,273.21
1/23/2016,273.39
1/23/2016,273.59
1/23/2016,272.50
1/24/2016,271.99
1/24/2016,271.28
1/24/2016,270.49
1/24/2016,270.20
1/24/2016,269.89
1/24/2016,268.90
1/24/2016,268.79
1/24/2016,268.59
1/24/2016,268.49
1/24/2016,268.60
1/24/2016,268.60
1/24/2016,268.82
1/24/2016,269.10
1/24/2016,269.04
1/24/2016,268.92
1/24/2016,269.47
1/24/2016,270.04
1/24/2016,272.13
1/24/2016,272.15
1/24/2016,272.84
1/24/2016,272.31
1/24/2016,274.44
1/24/2016,274.08
1/24/2016,273.71
1/25/2016,273.02
1/25/2016,272.23
1/25/2016,271.41
1/25/2016,271.57
1/25/2016,271.33
1/25/2016,271.07
1/25/2016,270.33
1/25/2016,270.60
1/25/2016,270.59
1/25/2016,270.75
1/25/2016,270.74
1/25/2016,270.11
1/25/2016,271.00
1/25/2016,271.02
1/25/2016,271.02
1/25/2016,272.81
1/25/2016,274.24
1/25/2016,274.22
1/25/2016,276.07
1/25/2016,276.59
1/25/2016,277.24
1/25/2016,276.86
1/25/2016,276.35
1/25/2016,275.49
1/26/2016,275.83
1/26/2016,276.17
1/26/2016,276.60
1/26/2016,277.25
1/26/2016,278.02
1/26/2016,276.81
1/26/2016,276.76
1/26/2016,275.37
1/26/2016,273.97
1/26/2016,273.86
1/26/2016,272.59
1/26/2016,272.59
1/26/2016,272.42
1/26/2016,272.42
1/26/2016,272.33
1/26/2016,272.62
1/26/2016,272.34
1/26/2016,272.04
1/26/2016,271.79
1/26/2016,271.77
1/26/2016,271.77
1/26/2016,271.65
1/26/2016,271.53
1/26/2016,271.14
1/27/2016,270.86
1/27/2016,270.71
1/27/2016,270.55
1/27/2016,270.45
1/27/2016,270.35
1/27/2016,269.61
1/27/2016,269.42
1/27/2016,269.42
1/27/2016,269.63
1/27/2016,269.77
1/27/2016,270.11
1/27/2016,269.68
1/27/2016,270.22
1/27/2016,270.17
1/27/2016,270.38
1/27/2016,270.39
1/27/2016,270.40
1/27/2016,271.01
1/27/2016,271.59
1/27/2016,273.14
1/27/2016,273.15
1/27/2016,274.10
1/27/2016,274.10
1/27/2016,273.67
1/28/2016,273.65
1/28/2016,273.79
1/28/2016,273.93
1/28/2016,273.40
1/28/2016,273.65
1/28/2016,274.10
1/28/2016,274.15
1/28/2016,273.99
1/28/2016,274.07
1/28/2016,273.58
1/28/2016,273.45
1/28/2016,273.31
1/28/2016,273.03
1/28/2016,273.07
1/28/2016,273.82
1/28/2016,274.99
1/28/2016,274.99
1/28/2016,276.77
1/28/2016,277.02
1/28/2016,277.39
1/28/2016,276.74
1/28/2016,276.78
1/28/2016,276.38
1/28/2016,275.95
1/29/2016,275.17
1/29/2016,274.34
1/29/2016,273.36
1/29/2016,273.17
1/29/2016,272.28
1/29/2016,272.06
1/29/2016,271.69
1/29/2016,271.15
1/29/2016,270.82
1/29/2016,270.42
1/29/2016,269.45
1/29/2016,268.51
1/29/2016,267.38
1/29/2016,266.99
1/29/2016,268.47
1/29/2016,269.48
1/29/2016,270.11
1/29/2016,271.06
1/29/2016,272.20
1/29/2016,273.23
1/29/2016,273.17
1/29/2016,274.35
1/29/2016,274.18
1/29/2016,273.88
1/30/2016,273.80
1/30/2016,273.61
1/30/2016,273.84
1/30/2016,273.84
1/30/2016,274.27
1/30/2016,274.45
1/30/2016,275.26
1/30/2016,276.13
1/30/2016,275.73
1/30/2016,275.85
1/30/2016,275.60
1/30/2016,275.64
1/30/2016,275.32
1/30/2016,274.85
1/30/2016,275.29
1/30/2016,275.71
1/30/2016,276.41
1/30/2016,277.09
1/30/2016,278.86
1/30/2016,280.40
1/30/2016,279.65
1/30/2016,281.37
1/30/2016,280.79
1/30/2016,279.15
1/31/2016,277.34
1/31/2016,277.26
1/31/2016,276.99
1/31/2016,277.52
1/31/2016,277.53
1/31/2016,277.58
1/31/2016,277.96
1/31/2016,277.77
1/31/2016,277.12
1/31/2016,277.10
1/31/2016,277.05
1/31/2016,277.27
1/31/2016,277.98
1/31/2016,278.64
1/31/2016,279.45
1/31/2016,279.89
1/31/2016,280.93
1/31/2016,282.35
1/31/2016,282.34
1/31/2016,281.77
1/31/2016,281.68
1/31/2016,281.29
1/31/2016,279.22
1/31/2016,279.21
2/1/2016,278.28
2/1/2016,277.33
2/1/2016,276.32
2/1/2016,276.23
2/1/2016,275.09
2/1/2016,275.08
2/1/2016,274.11
2/1/2016,273.66
2/1/2016,273.63
2/1/2016,273.11
2/1/2016,272.63
2/1/2016,272.11
2/1/2016,272.09
2/1/2016,272.06
2/1/2016,272.75
2/1/2016,272.57
2/1/2016,273.87
2/1/2016,275.31
2/1/2016,278.41
2/1/2016,279.38
2/1/2016,279.34
2/1/2016,280.40
2/1/2016,280.38
2/1/2016,279.36
2/2/2016,274.33
2/2/2016,273.17
2/2/2016,273.41
2/2/2016,272.18
2/2/2016,271.78
2/2/2016,271.80
2/2/2016,272.46
2/2/2016,273.07
2/2/2016,273.15
2/2/2016,274.04
2/2/2016,274.22
2/2/2016,274.60
2/2/2016,274.78
2/2/2016,275.37
2/2/2016,275.49
2/2/2016,276.08
2/2/2016,276.51
2/2/2016,275.78
2/2/2016,276.10
2/2/2016,275.91
2/2/2016,276.24
2/2/2016,276.38
2/2/2016,276.47
2/2/2016,276.70
2/3/2016,276.44
2/3/2016,276.17
2/3/2016,276.64
2/3/2016,276.54
2/3/2016,276.54
2/3/2016,276.26
2/3/2016,276.25
2/3/2016,275.80
2/3/2016,275.83
2/3/2016,275.70
2/3/2016,275.35
2/3/2016,275.32
2/3/2016,275.42
2/3/2016,275.39
2/3/2016,275.38
2/3/2016,275.98
2/3/2016,275.99
2/3/2016,276.01
2/3/2016,275.74
2/3/2016,275.73
